epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.679,2.72286,4.08017,2.00143,0.00081,0.08187,9e-05,2e-05,3.13454,4.75442,1.68111,0.000408286,0.000408286,0.000408286
2,245.969,2.56367,3.22714,1.67229,0.00096,0.09788,0.00052,0.00014,3.07166,4.563,1.74336,0.000665676,0.000665676,0.000665676
3,358.216,2.53301,2.77611,1.69189,0.00084,0.08383,0.00038,0.0001,2.97596,4.48979,1.7008,0.000687281,0.000687281,0.000687281
4,458.463,2.40765,2.6117,1.598,0.00086,0.08411,0.00033,8e-05,2.94832,4.4342,1.72382,0.000367967,0.000367967,0.000367967
