epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6288,2.66506,4.0185,1.97197,0.00103,0.10497,0.00096,0.0002,3.13872,4.76871,1.64179,0.000408286,0.000408286,0.000408286
2,193.393,2.52072,3.1429,1.64544,0.0015,0.17777,0.00037,9e-05,3.12817,4.54875,1.67552,0.000665676,0.000665676,0.000665676
3,318.251,2.62613,2.77237,1.6622,0.00165,0.13034,0.00032,8e-05,3.06869,4.49365,1.78761,0.000687281,0.000687281,0.000687281
4,412.701,2.39861,2.54201,1.53,0.00205,0.16746,0.00076,0.00026,2.98806,4.34561,1.74037,0.000367967,0.000367967,0.000367967
