class_id,class_name,precision,recall,mAP50,mAP50_95
0,Pothole,0.0005,0.1402,0.0001,0.0
1,Crack,0.0008,0.0852,0.0001,0.0
2,Manhole,0.0,0.005,0.0,0.0
