epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.664,2.79425,4.06701,2.00041,0.00081,0.08533,0.0001,2e-05,3.31136,4.7824,1.67498,0.000408286,0.000408286,0.000408286
2,263.281,2.58547,3.23454,1.71793,0.00054,0.0593,0.00194,0.00038,3.2111,4.69939,1.93508,0.000665676,0.000665676,0.000665676
3,365.479,2.55198,2.7729,1.66671,0.00075,0.07495,0.0004,0.0001,3.15164,4.55632,1.82198,0.000687281,0.000687281,0.000687281
4,483.699,2.42173,2.64506,1.55364,0.33473,0.01354,0.0004,0.00013,3.19622,4.6221,1.92031,0.000367967,0.000367967,0.000367967
