epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6267,2.74993,4.04827,2.00824,0.00129,0.13952,0.00025,5e-05,3.29847,4.8078,1.62581,0.000408286,0.000408286,0.000408286
2,135.628,2.59032,3.24753,1.71542,0.00075,0.08026,0.00029,9e-05,3.43089,4.77942,2.12334,0.000665676,0.000665676,0.000665676
3,190.979,2.58735,2.84622,1.70815,0.00109,0.10272,0.00035,9e-05,3.13813,4.52554,1.87556,0.000687281,0.000687281,0.000687281
4,263.61,2.49404,2.68144,1.58902,0.00118,0.10521,0.0004,0.00011,3.0494,4.46203,1.8622,0.000367967,0.000367967,0.000367967
