epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7777,2.79068,3.89707,2.12993,0.00079,0.08561,0.00013,3e-05,3.25918,4.58533,1.76089,0.000635111,0.000635111,0.000635111
2,68.6486,2.60358,3.32147,1.74741,0.00086,0.09176,0.00024,8e-05,3.2141,4.50783,1.80597,0.000904239,0.000904239,0.000904239
3,103.509,2.664,2.99795,1.7312,0.00075,0.07809,0.00041,9e-05,3.16071,4.3697,1.79335,0.00048586,0.00048586,0.00048586
